index,label,frequency
0,186899860,33
1,1336218432,11
2,163100588,3
3,53901125,2
4,2327056063,2
5,2885469933,1
6,365089731,1
7,76298312,1
8,24223212,1
9,363636749,1
10,257992782,1
11,121848109,1
12,3243495955,1
13,18349397,1
14,331376727,1
15,391894265,1
16,14653661,1
17,1313922787,1
18,83872612,1
19,1410636709,1
20,409137830,1
21,2149570279,1
22,347462394,1
23,8480682,1
24,2325735277,1
25,2537504687,1
26,245993401,1
27,71528370,1
28,25276659,1
29,23045815,1
30,39063033,1
31,207149242,1
32,4193430143,1
33,269908732,1
34,1077825853,1
