index,label,frequency
0,21-11-2015,13
1,19-11-2015,13
2,23-11-2015,13
3,28-11-2015,12
4,22-11-2015,9
5,11-12-2015,8
6,08-12-2015,8
7,17-11-2015,7
8,24-11-2015,7
9,20-11-2015,6
10,07-12-2015,6
11,01-12-2015,6
12,29-11-2015,6
13,25-11-2015,6
14,02-12-2015,5
15,26-11-2015,5
16,06-12-2015,5
17,18-11-2015,4
18,03-12-2015,4
19,12-12-2015,4
20,16-12-2015,3
21,15-12-2015,3
22,17-12-2015,3
23,13-12-2015,3
24,30-11-2015,2
25,04-12-2015,2
26,10-12-2015,2
27,09-12-2015,2
28,14-12-2015,1
29,05-12-2015,1
30,27-11-2015,1
