index,label,frequency
0,184454249,808
1,1305509970,43
2,15956049,40
3,163050214,33
4,1677711116,25
5,18218483,21
6,600850486,15
7,610380102,11
8,206814220,9
9,15255661,9
10,823755344,9
11,391039050,8
12,314060080,7
13,31080997,7
14,21777519,6
15,180283669,6
16,122042885,6
17,1305570188,6
18,186535909,6
19,3126303755,5
20,289554265,5
21,16251766,5
22,438779935,4
23,222234801,4
24,1177554198,4
25,2155909658,4
26,1376346553,4
27,2577313446,4
28,123664049,4
29,3297911474,4
30,892131031,4
31,263633697,4
32,57183081,4
33,100806686,3
34,1873008726,3
35,250673385,3
36,104647913,3
37,1450956072,3
38,60888395,3
39,399599978,3
40,1709776248,3
41,4003942823,3
42,1169929861,3
43,261226578,3
44,701844182,3
45,69157731,3
46,703829028,2
47,372444197,2
48,175214634,2
49,16065714,2
50,1265339005,2
51,5770762,2
52,150904161,2
53,361782369,2
54,78594000,2
55,1652483947,2
56,262091221,2
57,107104410,2
58,35177640,2
59,132562097,2
60,2241032568,2
61,434355624,2
62,533296353,2
63,22147351,2
64,454953241,2
65,292984026,2
66,1077386838,2
67,45047078,2
68,10628412,2
69,48764224,2
70,14248265,2
71,188901719,2
72,37639526,2
73,293434742,2
74,260148624,2
75,2405258653,2
76,254679473,2
77,957195542,2
78,262927826,2
79,366607838,2
80,28747261,2
81,183934465,2
82,205306385,2
83,561042965,2
84,51432991,2
85,191092262,2
86,566497833,2
87,957848107,2
88,2320944697,2
89,1036900946,2
90,1564064358,2
91,50618984,2
92,986850942,2
93,63472831,2
94,64161431,2
95,68197025,2
96,135017135,2
97,24859254,2
98,72408775,2
99,69224141,2
100,26049235,2
101,88486646,2
102,2883281723,2
103,467909441,2
104,249276226,2
105,337427570,2
106,82328753,2
107,47174506,2
108,73846642,2
109,1056526200,2
110,8611732,2
111,258725796,2
112,298197939,2
113,1035633594,2
114,38749120,2
115,1015897255,2
116,97401254,2
117,338244193,2
118,351107073,1
119,278083586,1
120,51540995,1
121,599582724,1
122,479183877,1
123,115160070,1
124,1115170825,1
125,75502606,1
126,5007021,1
127,1445924880,1
128,83603800,1
129,118994947,1
130,127921173,1
131,86713401,1
132,836173657,1
133,3433906798,1
134,899545604,1
135,1943583408,1
136,27984931,1
137,397180966,1
138,327224360,1
139,56692061,1
140,281046066,1
141,134336424,1
142,20093571,1
143,432366761,1
144,1260472814,1
145,61269050,1
146,142473595,1
147,217934908,1
148,76500337,1
149,1643764747,1
150,110528587,1
151,2598246476,1
152,540994670,1
153,276704349,1
154,493390930,1
155,28387421,1
156,1881399390,1
157,3648392293,1
158,2793983079,1
159,3047492712,1
160,1055139948,1
161,632891502,1
162,70500465,1
163,86275186,1
164,69523475,1
165,2386829428,1
166,402103414,1
167,191573115,1
168,156116096,1
169,179624128,1
170,43716737,1
171,466484356,1
172,2369022305,1
173,477020297,1
174,3971225740,1
175,303196304,1
176,52357493,1
177,333856917,1
178,513303121,1
179,106776727,1
180,236532079,1
181,101450908,1
182,247854237,1
183,924983454,1
184,76460191,1
185,170815648,1
186,2302402075,1
187,2845773988,1
188,188389541,1
189,128430247,1
190,49687068,1
191,85387435,1
192,2420845382,1
193,594686130,1
194,377473204,1
195,591071413,1
196,4162570426,1
197,2049211,1
198,449285309,1
199,936885439,1
200,33425600,1
201,524158145,1
202,353972418,1
203,266449611,1
204,49571012,1
205,112500598,1
206,114597065,1
207,188908747,1
208,390795710,1
209,77891801,1
210,107001050,1
211,274487382,1
212,592023776,1
213,47990022,1
214,1045656955,1
215,354701547,1
216,171662573,1
217,3107914990,1
218,93912104,1
219,27482835,1
220,3892903157,1
221,95087359,1
222,430919927,1
223,1071071480,1
224,22771961,1
225,481997091,1
226,256521722,1
227,381424898,1
228,375589590,1
229,507780177,1
230,2332239111,1
231,1191201,1
232,899889422,1
233,161993203,1
234,96974097,1
235,83938892,1
236,71609626,1
237,234176047,1
238,601303328,1
239,154911280,1
240,4003300643,1
241,1587851557,1
242,1577639214,1
243,283120943,1
244,236457864,1
245,539614771,1
246,2490145077,1
247,522710751,1
248,365541258,1
249,19286334,1
250,18962751,1
251,15686977,1
252,105941315,1
253,933361988,1
254,2230583622,1
255,482080071,1
256,37241160,1
257,61882705,1
258,27660628,1
259,50950485,1
260,48371030,1
261,8767832,1
262,3294119860,1
263,151479645,1
264,215754081,1
265,138418838,1
266,401324396,1
267,3047462255,1
268,90603888,1
269,73318769,1
270,127485299,1
271,146033012,1
272,339007861,1
273,46221687,1
274,1056084283,1
275,498393467,1
276,31438204,1
277,51998077,1
278,331616638,1
279,402795925,1
280,96626049,1
281,121042325,1
282,118049162,1
283,115559822,1
284,3045020441,1
285,2337316242,1
286,389356949,1
287,440753558,1
288,112265841,1
289,28317081,1
290,353126633,1
291,978713792,1
292,746376606,1
293,124467618,1
294,194512293,1
295,50799014,1
296,136356081,1
297,572915112,1
298,262080937,1
299,67713451,1
300,253039020,1
301,18584989,1
302,2857068976,1
303,2927219397,1
304,552977651,1
305,396992949,1
306,2198508984,1
307,384692416,1
308,18707902,1
309,386566389,1
310,23240983,1
311,582627777,1
312,407846987,1
313,209054148,1
314,67264966,1
315,2742061511,1
316,707079625,1
317,1135402442,1
318,2542861559,1
319,215933390,1
320,25891279,1
321,1964974530,1
322,131852195,1
323,229392852,1
324,23358030,1
325,40516055,1
326,28189144,1
327,510428068,1
328,2628280796,1
329,274937315,1
330,15143396,1
331,470064550,1
332,1730037841,1
333,222308840,1
334,305647338,1
335,204049901,1
336,828716526,1
337,580181487,1
338,2904312304,1
339,14226856,1
340,219603442,1
341,85621238,1
342,242664873,1
343,2739509752,1
344,499297785,1
345,48558586,1
346,249222651,1
347,108806652,1
348,23116291,1
349,536944132,1
350,265079581,1
351,69113352,1
352,1270155786,1
353,91554316,1
354,138455803,1
355,500047375,1
356,34542102,1
357,1546633752,1
358,260463131,1
359,3077636636,1
360,57279005,1
361,149504801,1
362,216010275,1
363,2972735619,1
364,34939674,1
365,102373934,1
366,125159983,1
367,71243312,1
368,159618609,1
369,51031115,1
370,1207310899,1
371,1255683637,1
372,634646282,1
373,184926782,1
374,606660159,1
375,5529152,1
376,480587330,1
377,560025159,1
378,396814945,1
379,1089179208,1
380,37740265,1
381,187179596,1
382,60872270,1
383,298067537,1
384,2366853016,1
385,510522964,1
386,1880315478,1
387,467824218,1
388,2562077275,1
389,104255069,1
390,133292645,1
391,200330848,1
392,82433633,1
393,439113318,1
394,2172647185,1
395,869507689,1
396,953193067,1
397,589670478,1
398,385835630,1
399,257929394,1
400,126811752,1
401,455176979,1
402,1685271156,1
403,1164396990,1
404,732832374,1
405,1197760405,1
406,2268586617,1
407,4236718714,1
408,2482087844,1
409,559372925,1
410,36929151,1
411,2361482880,1
412,3019968129,1
413,1440421507,1
414,83553924,1
415,251367048,1
416,208056970,1
417,26274443,1
418,27782798,1
419,349750930,1
420,136146936,1
421,53037718,1
422,165201562,1
423,37387931,1
424,31564944,1
425,129536427,1
426,602048158,1
427,1260607429,1
428,25714630,1
429,122222247,1
430,144947881,1
431,186423980,1
432,1272350911,1
433,27731632,1
434,36095667,1
435,1692609206,1
436,102103735,1
437,914392766,1
438,263624384,1
439,122457794,1
440,949232324,1
441,2192227014,1
442,473690826,1
443,14544587,1
444,1031037644,1
445,118638286,1
446,977818573,1
447,3149975248,1
448,35146449,1
449,598511595,1
450,375879672,1
451,46592497,1
452,538114995,1
453,15734154,1
454,392333023,1
455,288761808,1
456,76499904,1
457,296868584,1
458,113924841,1
459,468306666,1
460,76919533,1
461,253007598,1
462,98472687,1
463,3176123122,1
464,191112659,1
465,610154233,1
466,12191482,1
467,92577407,1
468,110914727,1
469,219756501,1
470,30404354,1
471,287872293,1
472,14257926,1
473,1138504321,1
474,703790209,1
475,271881993,1
476,339286398,1
477,36705036,1
478,192663313,1
479,713196307,1
480,415556374,1
481,1469844698,1
482,2945463065,1
483,266246938,1
484,239655707,1
485,3061391133,1
486,3254177566,1
487,30231327,1
488,46379808,1
489,930591522,1
490,14267173,1
491,366622118,1
